,ADDRESS,CAMIS,Latitude,Longitude
2744,61 COLUMBUS AVENUE,40760523,40.77115867,-73.98337044
2754,28 BOWERY,40762853,40.71504962,-73.99687882
2776,120 ESSEX STREET,40781636,40.7193938,-73.98769129
2806,1465 FOREST AVENUE,40786914,40.62448705,-74.13742427
2927,2450 BROADWAY,40811162,40.79116184,-73.97425027
2967,100 WEST HOUSTON STREET,40819315,40.72721214,-74.0003468
2974,3901 4 AVENUE,40820348,40.65258249,-74.00613423
3025,253        WEST 55 STREET ,40832580,40.76503513,-73.98277388
3075,1375 AVENUE OF THE AMERICAS,40843676,40.76353613,-73.97784811
3078,35 WEST 57 STREET,40844307,40.76349819,-73.97508244
3079,4920 5 AVENUE,40844457,40.6455765,-74.00992207
3091,790 8 AVENUE,40847331,40.76124165,-73.98678279
3157,201 PORT RICHMOND AVENUE,40859127,40.63630145,-74.13443001
3231,982        SOUTHERN BOULEVARD ,40869179,40.82250279,-73.89168456
3305,70 WEST 3 STREET,40879743,40.72951109,-73.99839916
3371,495        3 AVENUE ,40889792,40.74528704,-73.97835773
3414,1497       RICHMOND AVENUE ,40901214,40.6114821,-74.1591007
3434,261 8 AVENUE,40906355,40.74534013,-73.99853511
3448,271 WEST 23 STREET,40909191,40.74485676,-73.99729743
3471,702 AMSTERDAM AVENUE,40914702,40.79279834,-73.97136563
3513,114 NORTH 6 STREET,40922618,40.71824006,-73.95997606
3568,158 LUDLOW STREET,40929097,40.72117968,-73.987719
3572,324 BOWERY,40929352,40.72546536,-73.99219965
3640,2425 GRAND CONCOURSE,40936004,40.86050269,-73.89826329
3716,3371 BROADWAY,40944982,40.82113504,-73.95440263
3759,29 CLINTON STREET,40949185,40.72037007,-73.98448365
3789,125        PARK AVENUE ,40951896,40.75151363,-73.97803703
3846,401        FOREST AVENUE ,40962159,40.63097181,-74.10318912
3873,12 EAST 22 STREET,40966216,40.74046728,-73.98924184
3902,1840       2 AVENUE ,40970904,40.78356322,-73.94750609
3954,1710 VICTORY BOULEVARD,40980062,40.613223,-74.120662
3981,1854 HYLAN BOULEVARD,40984264,40.58383375,-74.09483921
4032,440 9 AVENUE,40991835,40.75369645,-73.99599668
4033,1112       WESTCHESTER AVENUE ,40992020,40.82533329,-73.89048394
4040,259        WEST 4 STREET ,40993101,40.73538046,-74.00322154
4043,245 5 AVENUE,40993542,40.7444923,-73.98735334
4045,523        9 AVENUE ,40993654,40.75657242,-73.99406928
4091,126 RIVINGTON STREET,40998924,40.71971555,-73.98696096
4154,18 SPRING STREET,41005098,40.72135265,-73.99496675
4164,338 UNION STREET,41006183,40.6815667,-73.99388047
4178,10 COLUMBUS CIRCLE,41007719,40.76764579,-73.98221349
4188,175 2 AVENUE,41008526,40.73042569,-73.98642434
4272,285        COLUMBUS AVENUE ,41016886,40.77826666,-73.97808544
