,ADDRESS,CAMIS,Latitude,Longitude
13254,1611 BROADWAY,41638716,40.76077789,-73.98453914
13259,117 WEST 57 STREET,41638918,40.76459151,-73.97768185
13303,191        EAST 161 STREET ,41640311,40.82655287,-73.92147097
13312,26         EAST 91 STREET ,41640757,40.78428777,-73.95721851
13324,3167 BAINBRIDGE AVENUE,41640977,40.8754702,-73.87959672
13448,1431       FULTON STREET ,41644300,40.68014643,-73.94403686
13461,75 BAXTER STREET,41644891,40.71629545,-74.00000141
13481,1101       EAST TREMONT AVENUE ,41645432,40.84004013,-73.87735637
13500,2051 2 AVENUE,41645764,40.79023371,-73.94280279
13575,202 8 AVENUE,41647939,40.74355324,-73.99967178
13674,1642 HYLAN BOULEVARD,41651300,40.58848454,-74.090129
13750,341        LENOX AVENUE ,41653879,40.80917468,-73.94454495
13757,166 NORTH 7 STREET,41654334,40.7177686,-73.95773241
13784,1422 ST NICHOLAS AVENUE,41655272,40.84931162,-73.93365499
13810,3706 3 AVENUE,41656299,40.83537186,-73.90319706
13816,774 9 AVENUE,41656679,40.76449514,-73.98812628
13817,564 KAPPOCK STREET,41656750,40.87895514,-73.91677312
13824,83 ESSEX STREET,41657018,40.71845963,-73.98832898
13858,67 WEST 23 STREET,41658609,40.7424931,-73.991682
13935,3929 WHITE PLAINS ROAD,41661581,40.8865579,-73.8612374
13990,1453 FOREST AVENUE,41664273,40.6245051,-74.13699893
13996,47         EAST 29 STREET ,41664434,40.74447635,-73.98473735
14058,70 VANDERBILT AVENUE,41667036,40.75468811,-73.97680827
14086,290        MADISON AVENUE ,41668582,40.75185808,-73.98005779
14118,800        GRAND STREET ,41670240,40.71184095,-73.94131652
14150,320 EAST 6 STREET,41671728,40.72713377,-73.98804988
14162,805 COLUMBUS AVENUE,41672122,40.79500456,-73.96587442
14170,3719       CHURCH AVENUE ,41672278,40.65117659,-73.9426425
14211,2530       VICTORY BOULEVARD ,41673927,40.60965116,-74.14775089
14235,162 THROOP AVENUE,41674774,40.6996689,-73.94431006
14240,434 KINGS HIGHWAY,41675147,40.60432986,-73.97399108
14326,160 HAVEMEYER STREET,41678767,40.71141923,-73.95773431
14336,193 SCHERMERHORN STREET,41679009,40.68911969,-73.98625543
14357,424 WEST 33 STREET,41679739,40.75310212,-73.99784375
14427,1437 1 AVENUE,41682554,40.76967713,-73.9547143
14431,8774       BAY PARKWAY ,41682774,40.59850976,-73.99747579
14644,9 EAST 40 STREET,41689516,40.75197085,-73.9811368
14680,249 WEST 231 STREET,41690532,40.87984206,-73.90651161
14721,52 WEST 33 STREET,41692061,40.74837447,-73.98663554
14729,163 MULBERRY STREET,41692397,40.71970821,-73.99722658
14789,1267       JEROME AVENUE ,41694156,40.83737756,-73.92054945
14807,118 CHAMBERS STREET,41694389,40.7151208,-74.00850471
14843,2050 86 STREET,41695581,40.60384438,-73.99710566
14862,119        EAST MOUNT EDEN AVENUE ,41696159,40.84363265,-73.9128078
14889,12 EAST 49 STREET,41696748,40.75763065,-73.97713748
14902,688        FRANKLIN AVENUE ,41697040,40.67497908,-73.95648651
14906,5578 BROADWAY,41697115,40.87891428,-73.90471168
14938,675 8 AVENUE,41698175,40.75777287,-73.98947826
14965,473        LENOX AVENUE ,41698781,40.81319489,-73.94160774
14978,33-41      FRANCIS LEWIS BOULEVARD ,41699276,40.76650512,-73.78981497
15008,55         BOND STREET ,41699976,40.72614166,-73.99323105
15061,111        EAST 18 STREET ,41701274,40.73690732,-73.98786097
15081,297 BROADWAY,41701643,40.70849098,-73.9579139
15108,1066 FLATBUSH AVENUE,41702516,40.64481931,-73.95807209
15181,1884 PARK AVENUE,41703888,40.8071506,-73.93759044
15231,2460 NOSTRAND AVENUE,41704669,40.62472957,-73.94656031
15240,430 EAST 14 STREET,41704800,40.73102268,-73.98189111
15264,111 EAST 56 STREET,41705359,40.76078513,-73.97073663
15314,237        MADISON AVENUE ,41706115,40.74982471,-73.98137537
15315,1282       SOUTHERN BOULEVARD ,41706118,40.83022043,-73.89177456
15390,900 MORRIS PARK AVENUE,41707964,40.84662244,-73.85938008
15397,2515       7 AVENUE ,41708185,40.82212273,-73.93863987
15476,1724 CONEY ISLAND AVENUE,41709897,40.61536596,-73.96346578
15486,1215 LEXINGTON AVENUE,41710235,40.77714192,-73.95722104
15495,5217 13 AVENUE,41710474,40.63320991,-73.99391664
15534,340        VICTORY BOULEVARD ,41711029,40.63378197,-74.08573517
15592,2496       ELM PLACE ,41712453,40.8618092,-73.89373107
15606,2026       LEXINGTON AVENUE ,41712855,40.80323435,-73.93833481
15638,239        BEACH 20 STREET ,41713537,40.59600596,-73.75409584
15675,160 CENTRAL PARK SOUTH,41715036,40.76635434,-73.97799013
15718,100        WEST 124 STREET ,41716448,40.80708596,-73.94609847
15747,3014       MIDDLETOWN ROAD ,41717156,40.8439659,-73.82987092
15788,3462 FULTON STREET,41718245,40.68481283,-73.8678993
15911,265 LAFAYETTE STREET,41721252,40.72344366,-73.99659482
15916,735 2 AVENUE,41721390,40.74822267,-73.97345341
15921,525        HUDSON STREET ,41721444,40.73405038,-74.0063169
15930,3910       BROADWAY ,41721673,40.83812065,-73.94182787
15964,11 WEST 32 STREET,41722462,40.74734301,-73.98579824
16010,486        KINGS HIGHWAY ,50000037,40.60417863,-73.97181352
16050,357        WEST BROADWAY ,50000120,40.72296106,-74.00319106
16066,107-11 101 AVENUE,50000149,40.68709238,-73.83627121
16771,90-40      160 STREET ,50001691,40.70457016,-73.79974529
16879,2109       STARLING AVENUE ,50001907,40.83613371,-73.8548568
17067,308 WEST 50 STREET,50002337,40.76235499,-73.9864079
17421,1773 LEXINGTON AVENUE,50003257,40.79476257,-73.94435644
17686,2755       BROADWAY ,50004346,40.80133399,-73.9679533
17715,220        BOWERY ,50004432,40.72187161,-73.99351033
17741,1800       BROADWAY ,50004503,40.76715672,-73.98163673
17823,24         EAST 39 STREET ,50004793,40.75083661,-73.98066085
17853,1316 AVENUE M,50004901,40.61776846,-73.96170808
18154,8518       3 AVENUE ,50005895,40.62416971,-74.03084754
19074,1759       BROADWAY ,50010029,40.68280949,-73.91016406
19376,22         PECK SLIP ,50011353,40.70845795,-74.00218653
19463,337 WEST 14 STREET,50011770,40.74021993,-74.00348824
20835,245 FLATBUSH AVENUE,50017190,40.68088081,-73.97506752
21716,1695 BROADWAY,50032872,40.68392932,-73.91214194
21953,712 AVENUE U,50033545,40.59794856,-73.96394026
